url,image,name,price
https://scrapeme.live/shop/Machoke/,https://scrapeme.live/wp-content/uploads/2018/08/067-350x350.png,Machoke,£27.00
https://scrapeme.live/shop/Machamp/,https://scrapeme.live/wp-content/uploads/2018/08/068-350x350.png,Machamp,£121.00
https://scrapeme.live/shop/Bellsprout/,https://scrapeme.live/wp-content/uploads/2018/08/069-350x350.png,Bellsprout,£74.00
https://scrapeme.live/shop/Weepinbell/,https://scrapeme.live/wp-content/uploads/2018/08/070-350x350.png,Weepinbell,£26.00
https://scrapeme.live/shop/Victreebel/,https://scrapeme.live/wp-content/uploads/2018/08/071-350x350.png,Victreebel,£68.00
https://scrapeme.live/shop/Tentacool/,https://scrapeme.live/wp-content/uploads/2018/08/072-350x350.png,Tentacool,£186.00
https://scrapeme.live/shop/Tentacruel/,https://scrapeme.live/wp-content/uploads/2018/08/073-350x350.png,Tentacruel,£65.00
https://scrapeme.live/shop/Geodude/,https://scrapeme.live/wp-content/uploads/2018/08/074-350x350.png,Geodude,£32.00
https://scrapeme.live/shop/Graveler/,https://scrapeme.live/wp-content/uploads/2018/08/075-350x350.png,Graveler,£182.00
https://scrapeme.live/shop/Golem/,https://scrapeme.live/wp-content/uploads/2018/08/076-350x350.png,Golem,£103.00
https://scrapeme.live/shop/Ponyta/,https://scrapeme.live/wp-content/uploads/2018/08/077-350x350.png,Ponyta,£53.00
https://scrapeme.live/shop/Rapidash/,https://scrapeme.live/wp-content/uploads/2018/08/078-350x350.png,Rapidash,£98.00
https://scrapeme.live/shop/Slowpoke/,https://scrapeme.live/wp-content/uploads/2018/08/079-350x350.png,Slowpoke,£109.00
https://scrapeme.live/shop/Slowbro/,https://scrapeme.live/wp-content/uploads/2018/08/080-350x350.png,Slowbro,£179.00
https://scrapeme.live/shop/Magnemite/,https://scrapeme.live/wp-content/uploads/2018/08/081-350x350.png,Magnemite,£100.00
https://scrapeme.live/shop/Magneton/,https://scrapeme.live/wp-content/uploads/2018/08/082-350x350.png,Magneton,£191.00
https://scrapeme.live/shop/Bulbasaur/,https://scrapeme.live/wp-content/uploads/2018/08/001-350x350.png,Bulbasaur,£63.00
https://scrapeme.live/shop/Ivysaur/,https://scrapeme.live/wp-content/uploads/2018/08/002-350x350.png,Ivysaur,£87.00
https://scrapeme.live/shop/Venusaur/,https://scrapeme.live/wp-content/uploads/2018/08/003-350x350.png,Venusaur,£105.00
https://scrapeme.live/shop/Charmander/,https://scrapeme.live/wp-content/uploads/2018/08/004-350x350.png,Charmander,£48.00
https://scrapeme.live/shop/Charmeleon/,https://scrapeme.live/wp-content/uploads/2018/08/005-350x350.png,Charmeleon,£165.00
https://scrapeme.live/shop/Charizard/,https://scrapeme.live/wp-content/uploads/2018/08/006-350x350.png,Charizard,£156.00
https://scrapeme.live/shop/Squirtle/,https://scrapeme.live/wp-content/uploads/2018/08/007-350x350.png,Squirtle,£130.00
https://scrapeme.live/shop/Wartortle/,https://scrapeme.live/wp-content/uploads/2018/08/008-350x350.png,Wartortle,£123.00
https://scrapeme.live/shop/Blastoise/,https://scrapeme.live/wp-content/uploads/2018/08/009-350x350.png,Blastoise,£76.00
https://scrapeme.live/shop/Caterpie/,https://scrapeme.live/wp-content/uploads/2018/08/010-350x350.png,Caterpie,£73.00
